,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list
1776,1776,2,1.0,[4],None,None,False
1777,1777,2,0.9544340029249649,[5],B,None,False
1778,1778,2,0.9544340029249649,[5],A,None,False
1779,1779,2,1.0,[4],A,None,False
1780,1780,2,1.0,[4],B,None,False
1781,1781,1,0.8112781244591328,[3],B,A,True
1782,1782,2,1.0,[4],None,None,False
1783,1783,2,0.8112781244591328,[5],A,None,False
1784,1784,2,1.0,[4],None,None,False
1785,1785,2,1.0,[4],None,None,False
1786,1786,2,0.9544340029249649,[5],A,None,False
1787,1787,2,1.0,[4],A,None,False
1788,1788,2,0.5435644431995964,[5],B,A,True
1789,1789,2,0.9544340029249649,[5],A,B,False
1790,1790,2,0.9544340029249649,[5],B,A,False
1791,1791,2,1.0,[4],None,None,False
1792,1792,2,1.0,[4],None,None,False
1793,1793,2,1.0,[4],None,None,False
1794,1794,2,1.0,[4],None,None,False
1795,1795,1,0.8112781244591328,[3],A,B,True
1796,1796,1,0.8112781244591328,[3],B,A,True
1797,1797,1,0.8112781244591328,[3],A,B,True
1798,1798,2,0.9544340029249649,[5],A,None,False
1799,1799,2,1.0,[4],None,None,False
1800,1800,2,1.0,[4],None,None,False
1801,1801,1,0.8112781244591328,[3],B,A,True
1802,1802,2,1.0,[4],None,None,False
1803,1803,2,0.5435644431995964,[5],A,B,False
1804,1804,2,1.0,[4],None,None,False
1805,1805,2,0.5435644431995964,[5],A,B,True
1806,1806,2,0.5435644431995964,[5],A,B,False
1807,1807,2,0.5435644431995964,[5],B,A,False
1808,1808,2,1.0,[5],B,None,False
1809,1809,2,0.8112781244591328,[5],A,B,False
1810,1810,2,0.5435644431995964,[5],B,A,False
1811,1811,2,0.9544340029249649,[5],A,B,False
1812,1812,2,1.0,[4],A,None,False
1813,1813,2,0.9544340029249649,[5],A,B,False
1814,1814,2,0.8112781244591328,[5],B,None,False
1815,1815,2,1.0,[5],B,None,False
1816,1816,2,1.0,[4],A,None,False
1817,1817,2,1.0,[4],A,None,False
1818,1818,2,1.0,[4],A,None,False
1819,1819,2,1.0,[4],None,None,False
1820,1820,2,0.5435644431995964,[5],B,A,True
1821,1821,2,0.5435644431995964,[5],B,A,True
1822,1822,2,1.0,[4],None,None,False
1823,1823,2,1.0,[4],None,None,False
1824,1824,2,1.0,[4],None,None,False
1825,1825,2,0.9544340029249649,[5],B,A,False
1826,1826,2,0.9544340029249649,[5],A,B,False
1827,1827,2,1.0,[4],None,None,False
1828,1828,2,1.0,[4],A,None,False
