,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
7826,7826,2,0.5435644431995964,[5],['B'],A,False,None,1,7826,"(((((B)#R0)#R1,(A,#H0)),#H1))"
7827,7827,2,0.5435644431995964,[5],['B'],A,False,None,1,7827,"(((((B)#R1)#R0,(A,#H1)),#H0))"
7828,7828,2,0.5435644431995964,[5],['A'],B,False,None,0,7828,"((((A)#R1)#R0,((B,#H0),#H1)))"
7829,7829,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,7829,"((((A)#R1,((B)#R0,#H1)),#H0))"
7830,7830,2,1.0,[4],['A'],None,False,A,0,7830,"((B,(((A)#R0)#R1,(#H0,#H1))))"
7831,7831,2,0.8112781244591328,[5],['A'],None,False,A,0,7831,"((((((A)#R0)#R1,#H0),B),#H1))"
7832,7832,2,1.0,[4],['A'],None,False,A,0,7832,"((B,(((#H0)#R1,(A)#R0),#H1)))"
7833,7833,2,0.8112781244591328,[5],['A'],B,False,A,0,7833,"(((((A)#R0)#R1,B),(#H0,#H1)))"
7834,7834,2,0.5435644431995964,[5],['A'],B,True,None,0,7834,"(((((A)#R1)#R0,(B,#H0)),#H1))"
7835,7835,2,0.8112781244591328,[5],['A'],None,False,A,0,7835,"((((A)#R0)#R1,((#H0,#H1),B)))"
7836,7836,2,0.5435644431995964,[5],['A'],B,False,None,0,7836,"((((A)#R1,((#H1)#R0,B)),#H0))"
7837,7837,2,0.5435644431995964,[5],['A'],B,False,None,1,7837,"(((((A)#R1)#R0,(B,#H1)),#H0))"
7838,7838,2,0.8112781244591328,[5],['B'],A,False,B,0,7838,"(((((B)#R1)#R0,#H1),(A,#H0)))"
7839,7839,2,1.0,[4],[],None,False,None,0,7839,"(((((B,A))#R0)#R1,(#H0,#H1)))"
7840,7840,2,1.0,[4],['A'],None,False,A,0,7840,"((((((A)#R1)#R0,#H1),#H0),B))"
7841,7841,2,0.5435644431995964,[5],['A'],B,True,None,0,7841,"(((A)#R0,((#H0)#R1,(B,#H1))))"
7842,7842,2,0.8112781244591328,[5],['A'],None,False,A,0,7842,"(((B,((A)#R0,(#H0)#R1)),#H1))"
7843,7843,2,0.8112781244591328,[5],['B'],A,False,B,0,7843,"(((A,#H1),(((B)#R0)#R1,#H0)))"
7844,7844,2,0.9544340029249649,[5],['B'],A,False,None,1,7844,"((((A,#H0))#R1,((B)#R0,#H1)))"
7845,7845,2,0.8112781244591328,[5],['A'],B,False,A,0,7845,"(((#H0,#H1),(B,((A)#R0)#R1)))"
7846,7846,2,0.5435644431995964,[5],['B'],A,False,None,0,7846,"(((#H1)#R0,((B)#R1,(A,#H0))))"
7847,7847,2,0.9544340029249649,[5],['A'],B,False,None,1,7847,"(((((B,#H0))#R1,(A)#R0),#H1))"
7848,7848,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,7848,"(((((A)#R1,(B)#R0),#H1),#H0))"
7849,7849,2,0.5435644431995964,[5],['A'],B,False,None,0,7849,"((((A)#R1,(B,#H0)),(#H1)#R0))"
7850,7850,2,0.5435644431995964,[5],['B'],A,False,None,0,7850,"((((B)#R1,((#H1)#R0,A)),#H0))"
7851,7851,2,0.5435644431995964,[5],['A'],B,False,None,1,7851,"((((A)#R1)#R0,((B,#H1),#H0)))"
7852,7852,2,0.5435644431995964,[5],['B'],A,False,None,1,7852,"((((B)#R1)#R0,((A,#H1),#H0)))"
7853,7853,2,0.5435644431995964,[5],['B'],A,True,None,0,7853,"((((((B)#R1)#R0,A),#H0),#H1))"
7854,7854,2,0.8112781244591328,[5],['B'],None,False,B,0,7854,"((((B)#R0)#R1,(A,(#H0,#H1))))"
7855,7855,2,0.5435644431995964,[5],['B'],A,True,None,0,7855,"(((B)#R1,((#H1)#R0,(A,#H0))))"
7856,7856,2,0.8112781244591328,[5],['B'],A,False,B,0,7856,"(((A,#H1),(((B)#R0)#R1,#H0)))"
7857,7857,2,0.8112781244591328,[5],['A'],None,False,A,0,7857,"((((((A)#R1)#R0,#H1),B),#H0))"
7858,7858,2,0.5435644431995964,[5],['B'],A,False,None,1,7858,"((((#H1)#R0,((B)#R1,A)),#H0))"
7859,7859,2,0.8112781244591328,[5],['A'],None,False,A,0,7859,"(((((A)#R0,(#H0)#R1),B),#H1))"
7860,7860,2,1.0,[4],['A'],None,False,A,0,7860,"((B,((((A)#R0)#R1,#H0),#H1)))"
7861,7861,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,7861,"(((A)#R1,((B)#R0,(#H0,#H1))))"
7862,7862,2,1.0,[5],"['A', 'B']",None,False,None,0,7862,"((((A)#R1,#H0),((B)#R0,#H1)))"
7863,7863,2,0.9544340029249649,[5],['A'],B,False,None,1,7863,"(((((B,(A)#R1))#R0,#H1),#H0))"
7864,7864,2,0.5435644431995964,[5],['B'],A,False,None,1,7864,"((((B)#R1)#R0,((A,#H1),#H0)))"
7865,7865,2,1.0,[4],['A'],None,False,A,0,7865,"(((((#H1)#R0,(A)#R1),#H0),B))"
7866,7866,2,0.5435644431995964,[5],['A'],B,False,None,1,7866,"(((((A)#R0)#R1,(B,#H0)),#H1))"
7867,7867,2,1.0,[5],"['A', 'B']",None,False,None,0,7867,"((((A)#R1,#H0),((B)#R0,#H1)))"
7868,7868,2,1.0,[4],['A'],None,False,A,0,7868,"((B,(((A)#R1,(#H1)#R0),#H0)))"
7869,7869,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,7869,"(((((B)#R1,(A)#R0),#H1),#H0))"
7870,7870,2,1.0,[4],['A'],None,False,A,0,7870,"((B,(((A)#R1)#R0,(#H0,#H1))))"
7871,7871,2,1.0,[4],['A'],None,False,A,0,7871,"((B,((((A)#R0)#R1,#H0),#H1)))"
7872,7872,2,0.5435644431995964,[5],['B'],A,False,None,1,7872,"((((B)#R0)#R1,((A,#H0),#H1)))"
7873,7873,2,0.5435644431995964,[5],['A'],B,False,None,0,7873,"(((#H1)#R0,((A)#R1,(B,#H0))))"
7874,7874,2,0.5435644431995964,[5],['A'],B,True,None,0,7874,"((((((A)#R0)#R1,B),#H1),#H0))"
7875,7875,2,0.8112781244591328,[5],['B'],A,False,B,0,7875,"((((B)#R0,#H1),((#H0)#R1,A)))"
7876,7876,2,0.9544340029249649,[5],['A'],B,False,None,1,7876,"(((((A)#R0,B))#R1,(#H0,#H1)))"
7877,7877,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,7877,"((((B)#R0,(#H0,#H1)),(A)#R1))"
7878,7878,2,0.9544340029249649,[5],['B'],A,False,None,1,7878,"((((B)#R0,((A,#H0))#R1),#H1))"
7879,7879,2,1.0,[4],['B'],None,False,B,0,7879,"(((((B)#R0)#R1,(#H0,#H1)),A))"
7880,7880,2,0.8112781244591328,[5],['B'],A,False,B,0,7880,"(((A,#H0),(((B)#R1)#R0,#H1)))"
7881,7881,2,0.9544340029249649,[5],['A'],B,False,None,1,7881,"(((#H0,#H1),((B,(A)#R0))#R1))"
7882,7882,2,0.8112781244591328,[5],['B'],None,False,B,0,7882,"((((((B)#R0)#R1,#H0),A),#H1))"
7883,7883,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,7883,"(((A)#R0,(((B)#R1,#H0),#H1)))"
7884,7884,2,0.8112781244591328,[5],['A'],None,False,A,0,7884,"(((#H1)#R0,(B,((A)#R1,#H0))))"
7885,7885,2,1.0,[5],"['A', 'B']",None,False,None,0,7885,"(((#H0,#H1),((B)#R0,(A)#R1)))"
7886,7886,2,0.5435644431995964,[5],['B'],A,True,None,0,7886,"(((B)#R0,(((#H0)#R1,A),#H1)))"
7887,7887,2,0.8112781244591328,[5],['A'],None,False,A,0,7887,"((((((A)#R0)#R1,#H0),B),#H1))"
7888,7888,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,7888,"(((A)#R0,(((B)#R1,#H0),#H1)))"
7889,7889,2,0.5435644431995964,[5],['A'],B,False,None,1,7889,"(((#H0)#R1,(((A)#R0,B),#H1)))"
7890,7890,2,0.5435644431995964,[5],['B'],A,True,None,0,7890,"(((B)#R1,((#H1)#R0,(A,#H0))))"
7891,7891,2,0.5435644431995964,[5],['A'],B,True,None,0,7891,"((((B,((A)#R0)#R1),#H1),#H0))"
7892,7892,2,0.9544340029249649,[5],['A'],B,False,None,1,7892,"((((A)#R0,((B,#H0))#R1),#H1))"
7893,7893,2,0.9544340029249649,[5],['B'],A,False,None,1,7893,"(((((A,#H1))#R0,(B)#R1),#H0))"
