Iteration;Newick
413;((B,(((A)#R1)#R0,(#H0,#H1))));
414;(((((A)#R1,(B)#R0),#H0),#H1));
415;((((A,((B)#R0)#R1),#H1),#H0));
416;((((B)#R1,#H0),((A)#R0,#H1)));
417;((((A,#H0),#H1),((B)#R1)#R0));
418;((((B,#H0))#R1,((A)#R0,#H1)));
419;((((A)#R1,(B,(#H1)#R0)),#H0));
420;(((B)#R0,(((#H0)#R1,A),#H1)));
421;((((B)#R0)#R1,((A,#H0),#H1)));
422;(((((A)#R1)#R0,(B,#H1)),#H0));
423;((B,((((A)#R1)#R0,#H1),#H0)));
424;((((((A)#R1,B))#R0,#H1),#H0));
425;(((((A)#R1)#R0,(B,#H0)),#H1));
426;((((A,(B)#R1))#R0,(#H0,#H1)));
427;(((((A)#R1)#R0,#H1),(B,#H0)));
428;((((((A)#R1)#R0,#H1),B),#H0));
429;(((A,((B)#R0,(#H0)#R1)),#H1));
430;(((((B)#R0)#R1,A),(#H0,#H1)));
431;((((A,#H1))#R0,((B)#R1,#H0)));
432;(((#H0,#H1),((A)#R0,(B)#R1)));
433;(((((B,(A)#R0))#R1,#H0),#H1));
434;(((((B)#R0)#R1,#H0),(A,#H1)));
435;((((B)#R1)#R0,((A,#H1),#H0)));
436;(((((B)#R0)#R1,(A,#H1)),#H0));
437;(((((A,#H0))#R1,(B)#R0),#H1));
438;(((((B)#R0)#R1,#H0),(A,#H1)));
439;((((#H0)#R1,((B,A))#R0),#H1));
440;(((B)#R0,((A,(#H0)#R1),#H1)));
441;((((B)#R0,(A)#R1),(#H0,#H1)));
442;(((((B)#R1,(#H1)#R0),#H0),A));
443;((((((B)#R1)#R0,#H1),#H0),A));
444;((((((A)#R1,B))#R0,#H1),#H0));
445;((((((A)#R0,B))#R1,#H0),#H1));
446;(((((B)#R0,(#H0)#R1),#H1),A));
447;((((B)#R0,(#H0)#R1),(A,#H1)));
448;(((((A)#R0)#R1,(#H0,#H1)),B));
449;(((A)#R0,((B)#R1,(#H0,#H1))));
