Iteration;Newick
434;((((B)#R1)#R0,(A,(#H0,#H1))));
435;((((#H0)#R1,B),((A)#R0,#H1)));
436;((((#H1)#R0,((A,B))#R1),#H0));
437;((((A)#R1,((B)#R0,#H1)),#H0));
438;(((((B)#R0)#R1,(A,#H0)),#H1));
439;((((B,#H0),#H1),((A)#R0)#R1));
440;(((((B)#R1)#R0,(A,#H1)),#H0));
441;(((A)#R1,(((#H1)#R0,B),#H0)));
442;(((((A)#R1)#R0,(B,#H1)),#H0));
443;((((A)#R0,((B)#R1,#H0)),#H1));
444;(((B)#R0,((A)#R1,(#H0,#H1))));
445;((((A,(B)#R0))#R1,(#H0,#H1)));
446;((((#H0)#R1,(B,#H1)),(A)#R0));
447;((((A)#R0)#R1,((B,#H1),#H0)));
448;(((#H0)#R1,((B,#H1),(A)#R0)));
449;(((#H0)#R1,(B,((A)#R0,#H1))));
450;((B,(((A)#R0)#R1,(#H0,#H1))));
451;((((A)#R0)#R1,((B,#H1),#H0)));
452;((((A)#R0,((#H0)#R1,B)),#H1));
453;((((((A)#R0,B))#R1,#H0),#H1));
454;((B,(((A)#R1)#R0,(#H0,#H1))));
455;(((((A)#R0)#R1,(B,#H0)),#H1));
456;((((((A)#R1)#R0,B),#H1),#H0));
457;((B,(((A)#R0)#R1,(#H0,#H1))));
458;(((B)#R0,((A)#R1,(#H0,#H1))));
459;((((B)#R0)#R1,((A,#H1),#H0)));
460;((((B,#H1))#R0,((A)#R1,#H0)));
461;((((B,#H1))#R0,((A)#R1,#H0)));
462;(((((B)#R0)#R1,#H0),(A,#H1)));
463;((((((A)#R1,B))#R0,#H1),#H0));
464;(((((B)#R1)#R0,(A,#H1)),#H0));
465;((B,(((#H0)#R1,(A)#R0),#H1)));
466;((((B)#R0)#R1,((A,#H0),#H1)));
467;(((A)#R1,((B,#H0),(#H1)#R0)));
468;((((B)#R1)#R0,((A,#H1),#H0)));
469;(((#H0,#H1),(((B)#R1)#R0,A)));
470;((((B)#R0)#R1,((A,#H0),#H1)));
471;(((#H0)#R1,(B,((A)#R0,#H1))));
472;(((A)#R1,(((B)#R0,#H1),#H0)));
473;((B,((((A)#R1)#R0,#H1),#H0)));
474;(((((A)#R1,(B)#R0),#H1),#H0));
475;((((B)#R0,((A)#R1,#H0)),#H1));
476;(((B)#R0,(((A)#R1,#H0),#H1)));
477;(((((B,#H1))#R0,(A)#R1),#H0));
478;((((B,#H1),(A)#R0),(#H0)#R1));
479;(((((A)#R0)#R1,(B,#H1)),#H0));
480;((((B)#R1,(#H1)#R0),(A,#H0)));
481;(((((B,(A)#R1))#R0,#H1),#H0));
482;(((((A)#R1,(B)#R0),#H0),#H1));
483;((((A,#H1),#H0),((B)#R1)#R0));
484;((((#H1)#R0,((A,B))#R1),#H0));
485;(((B)#R0,((A)#R1,(#H0,#H1))));
