,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
9355,9355,2,1.0,[5],"['A', 'B']",None,False,None,0,9355,"((((B)#R1,(A)#R0),(#H0,#H1)))"
9356,9356,2,0.9544340029249649,[5],['A'],B,False,None,1,9356,"((((A)#R1,((B,#H1))#R0),#H0))"
9357,9357,2,0.9544340029249649,[5],['B'],A,False,None,1,9357,"(((#H0,#H1),(((B)#R1,A))#R0))"
9358,9358,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,9358,"(((A)#R1,((B)#R0,(#H0,#H1))))"
9359,9359,2,0.5435644431995964,[5],['A'],B,False,None,1,9359,"(((#H0)#R1,((B,(A)#R0),#H1)))"
9360,9360,2,0.8112781244591328,[5],['A'],B,False,A,0,9360,"((((#H1)#R0,(A)#R1),(B,#H0)))"
9361,9361,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9361,"(((((A)#R1,(B)#R0),#H1),#H0))"
9362,9362,2,0.8112781244591328,[5],['A'],B,False,A,0,9362,"(((((A)#R0)#R1,#H0),(B,#H1)))"
9363,9363,2,0.9544340029249649,[5],['B'],A,False,None,1,9363,"(((((B)#R0,A))#R1,(#H0,#H1)))"
9364,9364,2,1.0,[5],"['A', 'B']",None,False,None,0,9364,"((((A)#R0,#H1),((B)#R1,#H0)))"
9365,9365,2,0.8112781244591328,[5],['B'],A,False,B,0,9365,"(((((B)#R0)#R1,A),(#H0,#H1)))"
9366,9366,2,0.9544340029249649,[5],['A'],B,False,None,1,9366,"(((((B,#H0))#R1,(A)#R0),#H1))"
9367,9367,2,0.8112781244591328,[5],['A'],None,False,A,0,9367,"(((B,((#H1)#R0,(A)#R1)),#H0))"
9368,9368,2,0.5435644431995964,[5],['B'],A,True,None,0,9368,"(((((B)#R0)#R1,(A,#H1)),#H0))"
9369,9369,2,0.5435644431995964,[5],['B'],A,True,None,0,9369,"(((((B)#R1)#R0,(A,#H0)),#H1))"
9370,9370,2,1.0,[4],[],None,False,None,0,9370,"((((#H1)#R0,((B,A))#R1),#H0))"
